paper_id,title,comment,abstract,image,category
1,TetraForce: スマートフォンの表裏両面に対する垂直・剪断方向の力を入力可能な磁気式インタフェース,本論文はスマートフォンのケースに磁石を埋め込んだ簡潔な入力インタフェースの提案になります。スマートフォンとケースの間はばね構造で結ばれており、磁石の移動はスマートフォンの地磁気センサによって読み取られます。またタッチセンシングの結果とも合わせることで、表面に力を加えようとしているのか、裏面に力を加えようとしているかの区別も行っています。シンプルかつ有用な提案です。,"スマートフォンの2つの面（タッチ面と背面）に対する2種類の方向（垂直方向と剪断方向）の力による入力を可能にするスマートフォンケース型の磁気式ユーザインタフェース""TetraForce""を提案する．本インタフェースは3 DoF で可動する背面パネル上の磁石の変位をスマートフォン内蔵の地磁気センサ（および加速度センサとジャイロセンサ）により推定することで力による入力を検出する．プロトタイプを用いたユーザスタディの結果，ユーザによる4種類の入力が平均97.4 %の精度で意図通りに検出できることを確認した．また，アプリケーション例を複数実装し，その有用性を議論した．",TRUE,S
2,スマートフォン背面のジェスチャ入力を実現するスマホリング型デバイスの設計と実装,本論文では、複数の圧力センサを配置したスマホリングを用いたスマートフォン背面でのジェスチャ入力手法を提案しています。提案手法自体の技術的な新規性は低いですが、設計したデバイスに合わせたジェスチャセットを検討し、性能評価により高い認識精度を示していることから有用性が認められます。査読者全員から WISSの登壇発表として採録すべきと判定しました。,本稿では，スマートフォン背面のジェスチャ認識を実現するスマホリング型のデバイスを提案する．我々はまず，ユーザ定義型ジェスチャのアプローチでスマホリングの最適なジェスチャを設計した．その後，機械学習のモデルを使用し，ジェスチャを分類する２つの分類器を実装し，参加者から入力データを収集した．その結果，日常動作とジェスチャ入力の分類では99.1%，ジェスチャの種類の分類では92.7%の精度が確認された．,TRUE,L
3,ReflecTouch: 角膜反射像を利用したスマートフォンの把持姿勢推定,スマートフォンのフロントカメラで撮影された顔写真を使用し、ユーザの角膜に反射したスマートフォンの画面の反射像を機械学習で分類することで、把持姿勢を推定する手法を提案している。総じて新規性があり、応用範囲も広く考えられる手法であると考えられる。現状の手法のままでは利用環境が制限されることが考えられるため、更なる工夫が期待される。,ユーザがスマートフォンをどのように把持しているかを検出することで，持ち方に応じて操作ボタンの位置を自動的に切り替えるなど，ユーザインターフェースを最適化することができる．顔の正面方向でスマートフォンを持つ際，画面の反射像が角膜に映るが，画面上の指を置いている部分は影となって欠ける．このことを利用してフロントカメラで撮影された顔写真内の角膜反射像を機械学習で分類することで把持姿勢推定を行う手法を提案する．,TRUE,L
4,Crane：プロダクトの意匠性・可折性・可製造性を考慮した折紙の計算設計プラットフォーム,折紙プロダクトの設計・造形を支援するツール（Grasshopperのライブラリ群）と，デザイン事例を紹介している．提案されているツールは大変興味深く，実装の完成度も高い点が高く評価された．一方，長大な内容を圧縮したためか，投稿時の原稿にはシステムの挙動等，不明瞭な記述も散見された．こうした点を踏まえて，採録条件付きのショート採録と判定した．,本稿では，Rhinoceros/Grasshopper上に実装された折紙の設計プラットフォームCraneを提案する．ユーザは（a）2D/3Dの折りパターンを設計し，（b）その変形をシミュレートし，逆に（c）ユーザの制約から新たな形状を発見することができる．また（d）厚みのない理想的な折りパターンから，ユーザの製造方法に応じて適切なヒンジが付けられた厚みのある構造を出力できる．本稿の後半では机・ランプシェード・マスクという3つのデザイン事例によりシステムの使用例と有効性を示す．,TRUE,S
5,FaceShow: 顔の部分表示による遠隔会議支援システム,本研究は、ビデオ会議において、顔の部分表示によって顔の開示度をさげつつリアクションを伝達することでコミュニケーションの円滑化を目指した研究である。評価方法等に不適切と思われる点があること、また現状の評価の範囲では既存手法（アバター）に対する優位性が不明瞭である反面、顔の部分表示というアプローチは非常に興味深く活発な議論が期待されることから、ショート採録と判定された。,遠隔会議では参加者がカメラOFFにすることでリアクションが伝わらずコミュニケーションの質が低下するが，多くの参加者はカメラONにすることに抵抗を感じている．本研究では顔の一部分のみを表示することによりカメラONに対する抵抗を減らすことを目的とした遠隔会議支援システムを提案する．実験では口と目のみを表示することによる恥ずかしさや顔の匿名性に与える影響を調査し，システムの有効性を評価した．,TRUE,S
6,研究発表コンテンツ内の意味的対応関係を活用した研究理解の支援,オンラインでの学会参加のために論文や発表資料を有機的に関連付けることで、リッチなオンライン学会参加体験を実現する研究は、新規性の観点での判断は難しい一方で、有用性は高いと考えられます。投稿段階の論文については、出版に向けて複数の懸念事項があり、これらを解決することを条件としてショート採録とします。,近年学会運営組織から提供される研究理解のためのコンテンツは多様になった。しかしそれらは個別に視聴・消費されており、各コンテンツの特性は生かされていない。そこで本研究ではコンテンツ間の意味的対応関係を抽出し、相互参照の形でユーザーに提示することで、コンテンツを横断した統合的な理解をサポートする。本稿では対応関係を自動抽出する手法を提案し、抽出結果を活用したシステムを作成した。加えて自動検出手法の性能の予備調整を行った。,TRUE,S
7,Gino .Aiki: 合気道の身体の使い方の習得を支援するMRソフトウェア,合気道の指導でよく行われる、「球を取るように」のような比喩的な身体動作指導をMR環境で実現したものである。新規性のあるシステム提案を行っており、荒削りではあるが、本ワークショップにおいて議論に足るものである。以上の結果から、ショート採録と判断された。,日本の武道である合気道には，独自の身体の使い方がある．これを習得すると，“小よく大を制す” ことができ，体格差に関係なく相手を制することができるようになるが，その学習は難しい．そこで，本稿では合気道の身体の使い方の学習を支援するMixed Reality向けのソフトウェアを提案する．これにより，合気道の身体感覚を仮想物体を通して学習することができる．最後に，本ソフトウェアを複数の場面で試験的に利用し，実用性と応用可能性について検討した．,TRUE,S
8,振りの理解を助けるためのダンス動画の自動分割,ダンスの振りを覚えることを支援するユーザインタフェースを実現するために、視覚特徴と聴覚特徴を用いてダンス動作を自動分割する手法を提案しました。アノテーションインタフェースと応用インタフェースの2種類を実装されており、実用性高く動作していると判断されました。全査読者のコメントを参考に、論文の質をさらに高めていただけることを期待します。当日の発表を楽しみにしております。,本研究ではダンス動画の振りを短時間の動きへと自動で分割する手法を提案する．提案手法では動画中のダンサーのポーズ情報から視覚特徴量を，動画中の音楽から聴覚特徴量をそれぞれ計算し，これらをTemporal Convolutional Network (TCN) に入力して，出力された分割可能性のピークを検出することで動画の分割位置を求める．本論文では提案手法の詳細や実験結果と，自動分割を応用したダンス学習支援システムについて述べる．,TRUE,S
9,リアルタイムフィードバックとスコアリングを導入した顕微鏡縫合術訓練,顕微鏡縫合術の訓練にリアルタイムフィードバックとゲーミフィケーションを用いてその訓練へのモチベーションを向上することを目指した研究です．顕微鏡縫合術の訓練に対するスコアリングの方法を適切に定めており，シンプルなゲーミフィケーション表現でも意欲向上が見られるシステムが実現されています．,脳神経外科の顕微鏡縫合術は習得に時間を必要とする難易度の高い医療技術である．熟練の医師は多忙なため初学者は単調で単独で訓練する必要がある．そこで本研究は訓練のモチベーション向上のためにスコアリングやリアルタイムフィードバックといったゲーミフィケーションの要素を取り入れたシステムを提案した．本システムを用いて実験を行った結果，UEQとSUSから本システムはモチベーション向上に寄与することがわかった．,TRUE,S
10,ユーザ嗜好と栄養摂取基準に基づくレシピ推薦手法の開発,本研究では、栄養摂取基準に基づいたレシピを提案するアルゴリズムの提案やGUIの実装にとどまらず、シミュレーションによる定量評価、ユーザ評価による定性評価などが行われました。これはWISSの6ページのフォーマットを考えると非常に充実した内容であり、提出されたビデオでも提案システムの挙動がわかりやすく紹介されていました。このため、いくつかの微修正はありますが、WISSでの登壇発表にふさわしい論文として「ショート採録(採録条件あり)」としました。,日々の献立作成において，栄養バランスの管理は健康維持のために重要であるが，個人の食に対する嗜好を考慮しつつ栄養バランスを両立することは簡単ではない．本研究では，ユーザの食材嗜好及び，1日の栄養バランスに基づいたレシピの推薦手法を提案する．本手法では，嗜好食材に基づく嗜好スコアと，食事摂取基準に基づく栄養ペナルティを設定する．それらを用いてレシピを推薦することで，ユーザに栄養バランスを考慮したレシピ選択を促す．,TRUE,S
